Subject,Label,sd_1.EMG1,sd_2.EMG1,sd_3.EMG1,sd_1.EMG2,sd_2.EMG2,sd_3.EMG2,sd_1.EMG3,sd_2.EMG3,sd_3.EMG3,sd_1.EMG4,sd_2.EMG4,sd_3.EMG4,sd_1.ACCupperX,sd_2.ACCupperX,sd_3.ACCupperX,sd_1.ACCupperY,sd_2.ACCupperY,sd_3.ACCupperY,sd_1.ACCupperZ,sd_2.ACCupperZ,sd_3.ACCupperZ,sd_1.ACClowerX,sd_2.ACClowerX,sd_3.ACClowerX,sd_1.GoniometerY,sd_2.GoniometerY,sd_3.GoniometerY,sd_1.Goniometer,sd_2.Goniometer,sd_3.Goniometer,sd_1.GyroupperX,sd_2.GyroupperX,sd_3.GyroupperX,sd_1.GyroupperY,sd_2.GyroupperY,sd_3.GyroupperY,sd_1.GyroupperZ,sd_2.GyroupperZ,sd_3.GyroupperZ,sd_1.GyrolowerX,sd_2.GyrolowerX,sd_3.GyrolowerX,sd_1.GyrolowerY,sd_2.GyrolowerY,sd_3.GyrolowerY,sd_1.GyrolowerZ,sd_2.GyrolowerZ,sd_3.GyrolowerZ,sd_1.Airborne,sd_2.Airborne,sd_3.Airborne
Subject02,v-cut-right-Rfirst,1331.388645,315.2165619,605.4841101,1329.211228,1595.785125,913.0821087,499.298658,111.3965821,117.3426575,327.5297151,352.8721127,180.121089,1223.124373,2105.578585,583.2155023,310.2426812,4297.965015,384.5233719,720.7026638,3535.16134,2098.662344,6979.750818,5203.063311,988.053959,231.6629154,253.9092501,110.746059,1038.884597,905.0186989,256.2884778,2920.400819,11135.38246,2997.460419,5955.568125,13603.3059,2871.182683,13713.77022,16132.09283,12610.68103,970.5969068,2737.122453,344.651164,499.758506,3668.506963,311.5450107,433.1720584,4753.372351,1729.36505,2570.0629,564.4795741,916.935614
Subject02,jump-two-leg,1667.712752,2374.194143,481.4275427,654.2560273,543.6444378,68.08978631,1704.089667,1223.242989,114.7870589,1356.214032,527.7179719,137.9646383,352.9028436,1435.67017,3387.322538,570.5825384,3892.651357,5853.766222,571.1499593,2870.1909,2602.659219,980.0258792,3518.833429,11400.47643,201.4464364,289.7885052,252.1184261,2422.046925,3538.702949,1611.690545,1170.536809,3872.481645,7544.582821,3849.917585,12001.24172,10808.3248,3370.14683,8363.731201,18066.35155,601.5704136,947.0069074,1932.585828,733.5998554,3095.373526,5732.692066,1780.599772,5022.44869,4005.56564,4847.784745,2672.378975,1190.592875
Subject02,sit,69.49449207,73.58592582,61.41929104,469.5449865,484.0084404,532.2419655,96.713141,93.96137878,91.57284772,102.3337344,103.6621014,106.4856506,33.87967616,39.62223166,64.54282336,22.50132698,22.89203201,40.74653499,16.5375051,21.72980591,22.72200158,182.7431821,154.7260629,221.1047979,61.74949589,58.8124328,54.04148268,36.90945437,35.92052854,34.37979079,215.7855626,230.3154015,264.5718843,122.9567621,126.2506378,214.8572231,102.7368956,114.9666278,260.5635327,24.89218119,31.38243874,73.32992115,18.74312399,12.15425367,27.26591048,29.26055031,29.73013556,33.46069622,190.8691929,165.2148838,492.5099924
Subject02,stair-up,2317.023157,2070.356181,1955.924195,774.4917717,561.0701594,326.292909,781.874371,683.9004666,274.8845145,1086.822881,890.3775454,352.1869544,870.4357838,1084.881748,816.0597763,1727.694873,1774.873859,1165.769452,2147.125519,2576.266327,2176.395105,3032.90552,3318.423087,3358.957045,400.7909079,440.0830754,490.4403176,4200.462371,4050.30326,3833.193327,2571.910273,3493.00045,2477.207977,9966.338567,12111.83466,7649.594332,8182.795843,8482.56807,7656.439982,812.9125673,1081.081124,853.4656016,2804.960401,2486.187179,2335.414839,1959.028801,2399.607778,1686.488196,5562.48747,3963.946395,3007.886481
Subject02,curve-right-step,438.1940534,511.4373266,320.6944803,783.8019595,806.4037022,985.463099,243.0498753,217.3310648,142.1638819,367.877724,421.1865167,254.4906121,943.4939168,1003.728591,923.4454765,777.3355162,940.8826493,858.3005961,1542.734662,1612.436861,920.7337655,2318.897078,2090.09813,3579.292422,143.1117086,166.2715527,199.1426666,2815.532609,2797.237334,1963.309042,2865.855392,3055.616433,2867.758648,6906.967263,8289.403913,5366.954616,6827.409721,8696.4034,8750.865378,788.2789292,923.4480791,774.751628,1209.592845,1456.264191,1135.549604,1506.171133,1658.938719,1171.911397,1480.153519,1564.4679,631.99809
Subject02,sit-to-stand,3125.551368,773.4882682,46.97732344,1265.787868,96.5001684,169.8107183,389.3358595,221.7158293,340.0143698,164.4763001,175.2359633,299.8366899,290.7404756,335.760896,216.7455066,642.471439,627.7281186,108.524359,148.2591859,1272.121519,516.8365382,689.6702652,719.1484066,392.9400078,326.2391081,97.23299236,91.04017918,236.0248437,3396.116412,793.7011971,914.7886167,828.9775324,533.908792,2567.777248,3243.846539,1384.310645,1175.805304,2860.099535,2428.038443,181.5346943,284.5562272,108.8825652,236.2028732,221.9083912,60.25393529,446.3773612,564.8967905,119.356207,298.2055505,248.3284014,209.0880848
Subject02,run,2187.917659,2109.129091,807.6037072,1871.344829,2004.103564,1373.461193,772.3391642,847.7419771,450.9513281,1259.995857,1004.904963,717.7954653,1181.884695,2439.649419,1566.959282,1868.88753,5504.742584,3283.11345,2965.708286,5709.468363,3138.747338,4159.987344,9463.106873,3580.551691,164.3327287,268.5417315,162.8418912,2622.438377,2433.001628,2421.950664,4625.154148,7024.886116,5947.620161,9468.552611,17629.85667,10966.19014,9313.793104,16546.63013,13708.88203,818.8925547,2272.287719,2167.059047,2308.824435,4687.525968,3005.210386,3212.201067,5282.097648,3216.756346,8704.428996,3858.654317,1798.151856
Subject02,curve-right-spin-Lfirst,333.9681178,432.7780371,166.053466,403.2024072,661.8915575,134.8930602,159.9230766,175.9235488,146.4205512,449.2828724,204.3522968,124.7705783,668.2607735,883.5401536,1224.354916,148.1938268,441.617448,950.2768638,318.9014966,662.1966944,2083.34151,818.846484,2698.190226,5290.712496,109.375953,152.580505,151.4570264,71.06219513,775.2083552,2055.091141,1203.977788,1156.018416,4867.915535,1086.685331,3197.577918,11122.08913,3389.250394,3603.421653,14655.6691,408.9340735,594.8116796,1207.302443,176.6973268,240.3879578,1305.953879,518.2221537,560.4282881,1332.609362,331.1133571,971.8622362,535.1517346
Subject02,curve-right-step,393.3229261,529.5496964,182.8781114,945.656772,934.6452928,449.159493,189.6432124,156.0409318,110.0433935,437.0273272,450.7577472,214.2988405,938.1628632,964.9021685,863.2487009,715.2314625,920.9502908,862.5195605,1285.459595,1623.758555,812.2303934,3050.943126,2317.674498,3555.477084,170.112384,144.4157665,177.832677,2387.177777,2297.75213,1602.386534,2925.208321,3123.529965,3054.545825,6759.796112,8285.022604,5219.861322,7673.795668,8126.961574,8599.913237,745.2521787,844.0008418,909.5333533,1082.622584,1241.570268,870.7413978,1315.771106,1419.431234,1004.521556,1755.5532,641.8649018,697.3059405
Subject02,v-cut-left-Lfirst,774.7998635,295.1137359,161.2475977,1996.170041,114.249377,705.8836854,1456.991497,164.5114686,122.4509994,1207.423582,185.672825,301.5224952,857.8165754,1562.924999,457.3072378,1131.861887,2549.489666,133.9492243,1498.058533,3696.994943,480.4207587,3695.638167,6624.002513,1761.922753,136.4129457,234.4121347,90.35259449,873.1167387,2193.66762,258.8851368,1579.05913,4697.736006,1685.636431,4473.76465,11008.48499,2984.295528,5923.048717,17001.21334,5586.717441,716.1178779,1489.805666,334.9508289,1207.027803,2364.955137,171.4083112,1992.051694,3633.856523,401.4402328,4410.243832,1079.230707,416.5893678
Subject02,sit-to-stand,3862.007358,1799.182917,56.83516626,2002.176789,392.8809287,84.96265968,347.5719108,223.2964583,317.4344862,251.6116996,186.6755712,222.1327491,91.47967299,464.5670174,278.6434806,312.0803796,1293.821623,140.8952773,76.44810211,1185.114182,939.9100142,448.8474433,800.9022662,880.6630212,73.32231567,331.0239276,90.05819873,124.1178955,3004.587961,1841.092997,452.4228365,689.7577757,792.8867701,643.6851871,2477.863289,3043.564492,445.3464221,1621.630519,3254.131613,130.2897748,304.9765686,203.1843824,64.01322543,257.4517028,174.2491375,251.456475,412.9731574,451.029091,289.4540377,263.9080927,905.2588908
Subject02,stand,45.97211393,47.56534388,590.0038916,152.7966206,161.992126,128.4905044,243.4126753,156.1908572,120.8714079,244.1284629,191.3757569,156.8029715,38.61985586,42.47954395,50.7013038,21.26822827,27.46388885,34.82555421,32.77815785,42.87368441,68.89036059,159.3913852,165.078873,189.4697308,60.60800697,66.03128971,62.24047248,39.06793455,41.69577659,44.82730965,231.1645257,198.1561427,247.127441,194.5040923,142.8434679,205.3711401,491.8347433,317.7959762,454.4948894,36.64601234,26.09224847,36.88310001,27.44624619,19.44045986,20.6099038,33.09646583,42.76516379,51.03151135,218.5973665,178.6466976,1129.260921
Subject02,v-cut-left-Lfirst,2039.831367,530.25961,76.03180114,2642.762135,609.71724,351.5884601,1313.487863,440.4202803,162.3887992,1924.616291,196.2577071,267.6491689,534.6858319,892.3596349,976.4953805,181.0557699,2499.695852,1441.876315,710.8525665,3419.806059,953.7116246,1629.003399,3399.897091,2963.016727,102.636545,189.1042107,183.6863404,858.8596205,1687.089463,627.8984096,1138.230095,4150.828847,2864.702501,1376.090512,9409.985502,5096.167301,3688.511694,7614.238341,9566.974825,540.760648,925.857544,950.8626611,288.4951372,2648.799692,1017.747569,761.6649107,3668.961789,801.0169122,4625.083159,1126.972279,369.854004
Subject02,v-cut-right-Rfirst,1666.621425,315.7614256,548.2884804,1509.557076,1390.076705,907.5163647,393.7105772,119.3084994,111.7580702,424.8407941,389.2301213,214.991706,1380.583688,2874.281021,877.7565458,557.2316801,4318.74234,386.3134459,828.9640046,4048.140014,1689.067111,5040.736536,7900.793684,1701.885459,396.8645004,255.7627359,105.3413211,1354.878495,1100.782713,570.9849725,2966.065352,12194.26468,3215.774384,7018.268836,13003.34958,3481.866612,11707.04324,16239.77278,11279.44833,1277.946077,2962.706374,667.8689847,445.4069365,3971.304887,210.1942574,1031.981959,5151.677487,1238.670359,3147.711415,717.5187896,894.0503141
Subject02,curve-right-spin-Lfirst,833.2661734,643.0522746,185.3998456,827.1410589,495.2591275,85.10586601,171.8833366,236.3819492,120.2355652,406.4794228,176.2162997,161.6900057,610.1635938,977.4473519,1235.808012,89.60576884,532.8366514,692.5029185,287.7395814,625.7152335,1770.34693,1086.874703,4010.007284,6459.121763,163.2359801,144.1754176,155.1714212,121.1518974,526.3557463,2043.711042,1408.996207,1105.796107,6452.75078,882.5396234,2137.907956,9546.795706,3724.261841,5089.69027,15848.23168,323.2142161,504.7810008,1081.259033,163.8540376,334.6545533,1484.518949,456.2378212,491.3679994,1065.947886,358.321761,752.1602774,550.202036
Subject02,curve-left-step,491.3180095,763.4890493,360.8728147,888.0794018,1363.281419,486.9934017,233.7768897,295.1398995,217.8506267,456.2151561,459.9895637,259.7546322,1014.777035,1365.799981,1150.61365,960.0575392,1089.016349,801.7855408,1831.632351,1925.925152,1008.565515,2832.251026,2884.035376,2892.829268,323.7992542,314.0072002,241.1813355,2817.452446,3180.096038,2550.370253,2700.240615,3840.236405,3312.076254,8053.258512,9577.494569,6574.046574,4392.717917,9636.540368,10158.06879,716.4954075,979.4142056,810.9621202,1450.654343,1771.332401,1471.901164,1652.149665,1822.29135,1467.522883,2924.265818,1307.942624,818.1372379
Subject02,jump-two-leg,4164.590921,866.1122459,781.629256,1488.253291,870.992171,263.5961079,1421.472644,714.6626037,109.8046961,1771.301531,242.9567066,117.6168421,489.451061,3103.077146,403.8106763,765.004265,5204.093853,237.9835091,534.0206475,3582.829076,733.5039327,1896.55937,8609.198043,1018.105062,187.4612873,223.1046251,82.82217326,2739.015214,2087.793283,346.9943467,1313.698933,5971.564868,1274.957093,4045.507814,11184.10448,2020.867585,4623.151029,16047.65885,3270.720017,622.5556526,2329.905383,350.6776723,1019.930745,5182.587478,323.5776382,1944.740526,4967.146973,477.4582046,4761.340709,1747.22466,270.2368417
Subject02,v-cut-left-Rfirst,2254.940295,948.8839124,497.9806996,2156.017592,821.2326547,1003.44599,1081.878639,246.1832798,123.9098606,642.3799158,347.041187,297.0876851,1193.633624,2143.237118,1195.166221,1440.118024,4053.904501,913.4582006,2561.448229,3727.507562,1651.667125,3703.153301,7990.261116,2524.881843,124.9348806,323.6248784,209.0135685,1622.259386,1595.39814,1071.026303,5262.2082,8220.494434,3715.121301,8731.257898,12950.1805,5336.082326,12766.46854,15434.07631,14279.3749,830.0642649,2723.655475,1293.294992,1073.825854,3801.534527,659.7714155,2011.015181,4528.656826,2159.630516,4440.632928,3631.478336,642.7583547
Subject02,v-cut-right-Rfirst,3207.814658,351.7704019,1005.062895,2205.830216,1550.300526,1134.318551,1687.359045,145.2142919,133.6877147,549.8420367,539.3750746,487.705483,1394.573805,3116.255103,733.9124052,670.4345516,4841.931193,510.7825707,485.5761426,4182.273166,2015.921029,4614.365907,8155.554057,1834.50326,307.2932576,349.1560957,179.8984205,1359.53644,1222.559408,502.7368644,4021.330143,11610.41073,2984.544701,5233.676426,15777.98334,3728.580829,9308.221109,17272.09215,11296.49048,1537.606377,2982.128125,609.7418479,783.7494721,4008.96051,330.5253108,1181.713692,5204.09367,1626.058312,5557.469133,540.3607259,824.3814661
Subject02,stair-up,2308.398441,3003.205882,923.5368869,917.6468038,755.3343356,196.1146527,948.4777225,640.4142741,378.1594904,964.2419661,1020.835868,386.6190562,1088.772158,1290.836531,982.8333279,1975.1698,2339.582005,1299.72002,2299.873389,2557.541198,1946.775919,5644.665423,4749.360924,3535.317906,392.9019832,391.9774054,485.1706276,4078.974016,3864.502902,3739.089476,4054.89813,4456.492215,3870.368622,12405.93638,13565.90551,11711.23806,9868.266692,9305.135737,8905.5798,1651.555983,1480.22287,1013.796342,3248.717358,3432.906632,2598.311426,2372.910545,2540.016726,2161.024316,3673.401963,3629.664548,2120.32562
Subject02,sit-to-stand,2613.078603,667.6410807,58.02196601,816.4408826,141.584901,179.3450885,363.714956,198.800256,315.2676992,157.7995607,253.0932266,362.37732,425.3262316,253.7071613,306.9238349,868.0975062,508.1635839,185.1823226,246.6962452,1071.965527,614.8001257,706.2485618,541.3253108,723.6651296,426.4083044,94.2069612,135.4473388,494.3486653,2943.378606,1369.07307,615.6663718,751.5219003,948.7811321,2776.659521,2875.140033,3552.195879,1272.574349,1588.989772,2825.549885,314.9763614,193.7607029,233.3175799,238.8311225,227.2725559,126.7711166,471.0971671,503.2488031,487.6405092,255.9617106,395.3185835,364.7455858
Subject02,curve-left-spin-Lfirst,142.9078482,407.9043821,121.0286333,890.0734338,745.4385689,75.29674921,867.6368806,417.1482194,206.3004474,516.9949524,167.1641761,146.9849672,558.5093945,579.2410994,898.4580608,82.65491413,744.490073,833.3897621,270.6379403,897.791533,1024.957701,1503.741296,1693.46028,5655.907221,160.5387166,190.4569706,218.2386945,284.4750049,2045.460624,1415.183096,1981.449784,2875.777842,3846.433936,1637.743923,3751.857946,4999.025537,6419.252321,7588.220441,14720.84255,309.0660416,604.7518825,903.3292738,92.94286663,1219.210971,934.7428436,201.7652957,1191.226457,1209.932947,690.0204491,788.1197507,352.6387042
Subject02,walk,635.5048487,866.2067762,567.6602986,791.8957592,987.4099656,535.0147869,442.010534,287.3253172,278.3078766,647.4280954,350.1964858,295.5095724,1074.592993,1398.73402,1107.469694,1184.102,1130.632085,779.9116131,2191.940361,2001.911784,1236.285352,3416.046509,3017.156147,2716.606591,273.6054268,291.8970389,198.7639799,3086.540609,3280.975833,2759.154985,4193.921952,4710.98715,3439.299668,9147.623677,9733.288544,8089.674012,8274.997992,10678.57409,9143.184984,784.4597455,1097.784057,939.0751837,1812.430886,1942.334402,1614.714073,1656.020828,1883.061541,1503.748437,2216.471068,2583.771453,1344.797809
Subject02,sit,72.32083512,74.531272,74.18434884,405.826624,517.7578328,504.460741,91.39009361,92.15258399,91.69965012,105.7067007,104.2255804,107.4056946,31.62433715,51.67905668,46.11009381,28.79862655,24.44680209,42.36811868,23.5620199,20.16297626,30.49106065,180.2972443,271.2416294,161.5063453,54.94669607,66.42531048,62.89528076,40.0666788,30.78860959,37.27092875,196.2670454,224.7321732,204.3725504,109.9473474,105.0012834,128.998125,116.4213013,167.2617101,164.3347372,38.4383943,56.7141709,45.86985319,26.17748215,26.83762567,33.56411579,39.96036413,35.95411911,64.97439208,201.7499589,187.9902215,162.3719763
Subject02,curve-left-spin-Lfirst,127.1634896,342.4567972,246.3461651,664.508223,966.3880811,66.82390971,696.5012756,242.7902679,109.2165039,563.8649586,186.7392939,113.4899601,303.2315493,609.2958809,1043.619998,116.5605264,585.6221452,521.5597645,211.2094772,638.4602076,1106.754871,1155.100861,1839.055855,5995.17933,115.1717266,159.9586351,260.6810822,151.5247167,1819.772788,1455.608186,1548.336621,3494.551108,2775.285134,1217.506145,4014.925904,5257.387835,4606.299107,6483.788236,16694.01795,186.8919761,668.7430603,710.7757427,94.53999296,993.8743481,879.2774801,182.5195451,1101.729249,1476.607499,538.0663694,1532.023807,545.9300871
Subject02,jump-two-leg,4127.271799,1320.79058,75.22748102,2217.295241,461.2668455,78.99826467,812.9890916,1021.021971,250.3089542,1835.940248,399.5008461,239.3328429,477.7857517,1842.596762,2494.042318,736.6130793,4737.895218,3383.585925,867.3405363,2633.191024,2776.882671,1396.449627,5542.093231,8607.920398,183.2364847,304.072247,145.5628784,3156.561227,2940.972176,1910.303554,1748.45345,4278.652328,5503.698065,4945.321247,11053.24507,6860.866953,3904.405419,11084.65101,13937.77264,621.0340692,1186.625128,2227.632119,1025.212022,3632.359693,4362.370956,1837.687543,4291.274115,3836.695339,3488.884297,3397.868173,447.0363711
Subject02,curve-left-spin-Rfirst,960.938193,436.2025775,55.72016323,537.0134558,96.96343282,93.84682917,131.747343,96.06214601,90.04551387,232.5062383,233.5720588,427.5653243,605.4817883,1061.152816,349.2857078,805.3570899,1201.634635,157.2619376,1141.449405,1609.542542,443.4633525,4802.180889,3085.281119,1011.402033,178.9284982,235.9111358,91.58950297,2585.338798,1448.530303,81.0135413,3535.863639,2825.002959,996.0607816,5424.197921,5441.795683,1249.553826,4361.481527,9161.263259,3003.599776,646.1690136,1008.235126,223.6163338,1844.378308,1177.252891,167.0225377,1774.378547,1119.42587,428.2220556,690.2065188,657.1371611,190.029208
Subject02,lateral-shuffle-left,2070.827434,1977.742325,201.5209568,1934.891867,1369.471975,685.1846382,826.5277465,808.3272922,151.2778738,1213.143688,704.5257947,152.8677961,1608.652954,2030.886916,2189.260225,1191.707446,3635.565881,1560.611583,1926.753824,2789.544562,1496.322774,10321.91238,15036.78245,10481.08381,262.3399615,472.8118322,463.9027917,783.1914588,774.0720229,1198.378822,8856.404473,12362.14936,9319.419858,8188.961274,11348.42501,6281.791677,14097.74258,16438.96067,19678.87275,1195.623895,3301.977819,1999.27612,1051.644753,2971.727193,1802.137457,1617.085614,2794.853133,1860.353044,5662.344188,3222.999845,1336.117116
Subject02,sit-to-stand,2185.389422,321.3402618,46.29941135,574.0324297,137.3963014,149.2105989,277.6678508,204.142821,276.8470946,162.425525,294.5550423,257.3430375,453.3761192,319.5480201,287.0859434,1153.785369,349.3463443,140.1987532,478.369676,913.1438772,535.8265093,985.5788755,770.8092207,873.3969363,525.7841455,75.40671234,79.47951003,1189.118744,2779.782909,808.9239951,785.3728354,641.2227162,761.3137999,3822.510099,3142.457132,2320.648725,1099.380687,3131.839381,3425.919813,381.9541423,244.4513509,175.5158253,348.3299054,241.6624969,76.55711575,552.5319608,555.2789066,253.8671054,445.6486312,265.8982691,172.3894889
Subject02,stair-up,2525.422576,2401.291899,1413.462748,744.7653654,664.1105487,355.3468435,838.8041767,767.0199005,636.2754322,997.1907607,898.5489274,391.3195787,1297.877172,1253.794088,717.4045063,2545.891157,2072.300203,1156.984299,2517.251697,2719.230119,1860.836598,5194.235101,4870.728108,3213.887756,404.0620795,433.5474345,555.0767775,4008.325886,3721.704291,3702.222967,3814.234856,5962.132285,2839.853119,13263.48606,13270.78127,8297.820596,10267.54045,10750.44187,7143.798606,1742.501284,1560.3839,752.5145099,3723.597505,3222.908246,2191.904222,2402.039844,2458.73151,1780.337865,3753.78285,2892.5224,2693.684974
