Subject,Datafile,Label
Subject01,Subject01/Subject01_Aufnahme035.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme036.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme037.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme038.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme039.csv,jump-one-leg
Subject01,Subject01/Subject01_Aufnahme040.csv,walk
Subject01,Subject01/Subject01_Aufnahme041.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme042.csv,jump-one-leg
Subject01,Subject01/Subject01_Aufnahme043.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme044.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme045.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme046.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme047.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme048.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme049.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme050.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme051.csv,walk
Subject01,Subject01/Subject01_Aufnahme052.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme053.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme054.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme055.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme056.csv,run
Subject01,Subject01/Subject01_Aufnahme057.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme058.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme059.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme060.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme061.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme062.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme063.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme064.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme065.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme066.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme067.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme068.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme069.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme070.csv,walk
Subject01,Subject01/Subject01_Aufnahme071.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme072.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme073.csv,walk
Subject01,Subject01/Subject01_Aufnahme074.csv,walk
Subject01,Subject01/Subject01_Aufnahme075.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme076.csv,run
Subject01,Subject01/Subject01_Aufnahme077.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme078.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme079.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme080.csv,run
Subject01,Subject01/Subject01_Aufnahme081.csv,walk
Subject01,Subject01/Subject01_Aufnahme082.csv,run
Subject01,Subject01/Subject01_Aufnahme083.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme084.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme085.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme086.csv,walk
Subject01,Subject01/Subject01_Aufnahme087.csv,sit
Subject01,Subject01/Subject01_Aufnahme088.csv,run
Subject01,Subject01/Subject01_Aufnahme089.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme090.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme091.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme092.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme093.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme094.csv,stand
Subject01,Subject01/Subject01_Aufnahme095.csv,sit
Subject01,Subject01/Subject01_Aufnahme096.csv,sit
Subject01,Subject01/Subject01_Aufnahme097.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme098.csv,walk
Subject01,Subject01/Subject01_Aufnahme099.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme100.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme101.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme102.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme103.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme104.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme105.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme106.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme107.csv,walk
Subject01,Subject01/Subject01_Aufnahme108.csv,run
Subject01,Subject01/Subject01_Aufnahme109.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme110.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme111.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme112.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme113.csv,stand
Subject01,Subject01/Subject01_Aufnahme114.csv,sit
Subject01,Subject01/Subject01_Aufnahme115.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme116.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme117.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme118.csv,walk
Subject01,Subject01/Subject01_Aufnahme119.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme120.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme121.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme122.csv,walk
Subject01,Subject01/Subject01_Aufnahme123.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme124.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme125.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme126.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme127.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme128.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme129.csv,walk
Subject01,Subject01/Subject01_Aufnahme130.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme131.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme132.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme133.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme134.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme135.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme136.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme137.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme138.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme139.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme140.csv,walk
Subject01,Subject01/Subject01_Aufnahme141.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme142.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme143.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme144.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme145.csv,jump-one-leg
Subject01,Subject01/Subject01_Aufnahme146.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme147.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme148.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme149.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme150.csv,stand
Subject01,Subject01/Subject01_Aufnahme151.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme152.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme153.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme154.csv,run
Subject01,Subject01/Subject01_Aufnahme155.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme156.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme157.csv,run
Subject01,Subject01/Subject01_Aufnahme158.csv,jump-one-leg
Subject01,Subject01/Subject01_Aufnahme159.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme160.csv,run
Subject01,Subject01/Subject01_Aufnahme161.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme162.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme163.csv,walk
Subject01,Subject01/Subject01_Aufnahme164.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme165.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme166.csv,jump-one-leg
Subject01,Subject01/Subject01_Aufnahme167.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme168.csv,walk
Subject01,Subject01/Subject01_Aufnahme169.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme170.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme171.csv,sit
Subject01,Subject01/Subject01_Aufnahme172.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme173.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme174.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme175.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme176.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme177.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme178.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme179.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme180.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme181.csv,run
Subject01,Subject01/Subject01_Aufnahme182.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme183.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme184.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme185.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme186.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme187.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme188.csv,run
Subject01,Subject01/Subject01_Aufnahme189.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme190.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme191.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme192.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme193.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme194.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme195.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme196.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme197.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme198.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme199.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme200.csv,sit
Subject01,Subject01/Subject01_Aufnahme201.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme202.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme203.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme204.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme205.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme206.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme207.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme208.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme209.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme210.csv,walk
Subject01,Subject01/Subject01_Aufnahme211.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme212.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme213.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme214.csv,sit
Subject01,Subject01/Subject01_Aufnahme215.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme216.csv,walk
Subject01,Subject01/Subject01_Aufnahme217.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme218.csv,walk
Subject01,Subject01/Subject01_Aufnahme219.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme220.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme221.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme222.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme223.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme224.csv,stand
Subject01,Subject01/Subject01_Aufnahme225.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme226.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme227.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme228.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme229.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme230.csv,run
Subject01,Subject01/Subject01_Aufnahme231.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme232.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme233.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme234.csv,curve-left-step
Subject01,Subject01/Subject01_Aufnahme235.csv,sit
Subject01,Subject01/Subject01_Aufnahme236.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme237.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme238.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme239.csv,walk
Subject01,Subject01/Subject01_Aufnahme240.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme241.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme242.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme243.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme244.csv,curve-left-step
Subject01,Subject01/Subject01_Aufnahme245.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme246.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme247.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme248.csv,stand
Subject01,Subject01/Subject01_Aufnahme249.csv,sit
Subject01,Subject01/Subject01_Aufnahme250.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme251.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme252.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme253.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme254.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme255.csv,stand
Subject01,Subject01/Subject01_Aufnahme256.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme257.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme258.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme259.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme260.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme261.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme262.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme263.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme264.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme265.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme266.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme267.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme268.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme269.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme270.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme271.csv,sit
Subject01,Subject01/Subject01_Aufnahme272.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme273.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme274.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme275.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme276.csv,stand
Subject01,Subject01/Subject01_Aufnahme277.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme278.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme279.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme280.csv,sit
Subject01,Subject01/Subject01_Aufnahme281.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme282.csv,curve-left-step
Subject01,Subject01/Subject01_Aufnahme283.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme284.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme285.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme286.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme287.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme288.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme289.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme290.csv,stand
Subject01,Subject01/Subject01_Aufnahme291.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme292.csv,stand
Subject01,Subject01/Subject01_Aufnahme293.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme294.csv,run
Subject01,Subject01/Subject01_Aufnahme295.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme296.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme297.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme298.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme299.csv,walk
Subject01,Subject01/Subject01_Aufnahme300.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme301.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme302.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme303.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme304.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme305.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme306.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme307.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme308.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme309.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme310.csv,stand
Subject01,Subject01/Subject01_Aufnahme311.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme312.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme313.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme314.csv,curve-left-step
Subject01,Subject01/Subject01_Aufnahme315.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme316.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme317.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme318.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme319.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme320.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme321.csv,sit
Subject01,Subject01/Subject01_Aufnahme322.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme323.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme324.csv,v-cut-right-Lfirst
Subject01,Subject01/Subject01_Aufnahme325.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme326.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme327.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme328.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme329.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme330.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme331.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme332.csv,sit
Subject01,Subject01/Subject01_Aufnahme333.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme334.csv,v-cut-left-Lfirst
Subject01,Subject01/Subject01_Aufnahme335.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme336.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme337.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme338.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme339.csv,run
Subject01,Subject01/Subject01_Aufnahme340.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme341.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme342.csv,sit
Subject01,Subject01/Subject01_Aufnahme343.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme344.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme345.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme346.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme347.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme348.csv,stand
Subject01,Subject01/Subject01_Aufnahme349.csv,run
Subject01,Subject01/Subject01_Aufnahme350.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme351.csv,sit
Subject01,Subject01/Subject01_Aufnahme352.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme353.csv,jump-one-leg
Subject01,Subject01/Subject01_Aufnahme354.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme355.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme356.csv,lateral-shuffle-left
Subject01,Subject01/Subject01_Aufnahme357.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme358.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme359.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme360.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme361.csv,curve-left-step
Subject01,Subject01/Subject01_Aufnahme362.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme363.csv,stair-down
Subject01,Subject01/Subject01_Aufnahme364.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme365.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme366.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme367.csv,sit
Subject01,Subject01/Subject01_Aufnahme368.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme369.csv,stair-up
Subject01,Subject01/Subject01_Aufnahme370.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme371.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme372.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme373.csv,curve-right-step
Subject01,Subject01/Subject01_Aufnahme374.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme375.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme376.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme377.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme378.csv,run
Subject01,Subject01/Subject01_Aufnahme379.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme380.csv,jump-two-leg
Subject01,Subject01/Subject01_Aufnahme381.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme382.csv,stand-to-sit
Subject01,Subject01/Subject01_Aufnahme383.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme384.csv,stand
Subject01,Subject01/Subject01_Aufnahme385.csv,stand
Subject01,Subject01/Subject01_Aufnahme386.csv,lateral-shuffle-right
Subject01,Subject01/Subject01_Aufnahme387.csv,run
Subject01,Subject01/Subject01_Aufnahme388.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme389.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme390.csv,stand
Subject01,Subject01/Subject01_Aufnahme391.csv,v-cut-right-Rfirst
Subject01,Subject01/Subject01_Aufnahme392.csv,curve-right-spin-Lfirst
Subject01,Subject01/Subject01_Aufnahme393.csv,curve-right-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme394.csv,curve-left-spin-Rfirst
Subject01,Subject01/Subject01_Aufnahme395.csv,run
Subject01,Subject01/Subject01_Aufnahme396.csv,sit-to-stand
Subject01,Subject01/Subject01_Aufnahme397.csv,v-cut-left-Rfirst
Subject01,Subject01/Subject01_Aufnahme398.csv,curve-right-spin-Rfirst
