,Label,mean_1,mean_2,mean_3,mean_4,median_1,median_2,median_3,median_4,sd_1,sd_2,sd_3,sd_4,min_1,min_2,min_3,min_4,max_1,max_2,max_3,max_4
12,jump-two-leg,35034.27273,40058.79887,32337.47309,35034.27273,34112,39732,32661,34112,1560.410971,2283.504784,1696.343322,1560.410971,33172,36724,29016,33172,38245,44412,39936,38245
13,sit,35663.04569,35669.6557,35659.79747,35663.04569,35667,35668,35658,35667,30.15925405,29.97186391,26.78092157,30.15925405,35592,35592,35608,35592,35720,35728,35716,35720
14,stair-up,35144.84865,35855.37362,35553.6326,35144.84865,35000,35422,35560,35000,1564.947662,2780.543967,1822.304139,1564.947662,30736,29864,30260,30736,39708,47256,40640,39708
15,curve-right-step,35337.50578,34560.62094,34777.52924,35337.50578,34840,34264,34501,34840,1394.908362,1558.894651,1480.411681,1394.908362,33556,31492,30599,33556,38612,39344,38320,38612
16,sit-to-stand,35601.07447,36278.33982,35237.10088,35601.07447,35664,36488,35197,35664,260.8252475,488.6180555,466.7655061,260.8252475,34825,34868,34540,34825,35877,36791,35920,35877
17,run,34757.83105,36861.28797,36880.75105,34757.83105,35056,38400,37036,35056,2793.542608,5025.120869,4862.821209,2793.542608,27496,24200,15217,27496,39920,46968,44029,39920
18,curve-right-spin-Lfirst,34762.40612,34376.29328,35765.82077,34762.40612,34640,34428,34990,34640,427.5685625,459.4473916,1626.441676,427.5685625,34120,33712,34000,34120,35551,35200,38548,35551
19,curve-right-step,35263.87405,35068.4768,34583.33121,35263.87405,34789,34476,34664,34789,1336.639049,1511.032674,946.2631609,1336.639049,32618,32164,31262,32618,38388,38876,37464,38388
20,v-cut-left-Lfirst,35362.05447,36335.36311,36719.28544,35362.05447,34992,37564,36072,34992,1315.863279,4166.094989,2189.443094,1315.863279,33357,28540,33856,33357,39348,41396,41380,39348
21,sit-to-stand,35927.46029,36155.63243,35978.88649,35927.46029,35940,36284,36001,35940,68.89134494,641.2075547,448.65859,68.89134494,35704,34888,34664,35704,36046,37016,36800,36046
22,stand,34897.76136,34875.94334,34850.28329,34897.76136,34905,34878,34856,34905,35.99493295,38.71144955,41.42002396,35.99493295,34829,34790,34764,34829,34978,34960,34924,34978
23,v-cut-left-Lfirst,34643.68478,35280.00362,38211.81917,34643.68478,34736,34869,37900,34736,309.5971833,3434.140453,2053.709835,309.5971833,33518,29134,34024,33518,35012,41504,41912,35012
24,v-cut-right-Rfirst,35496.8494,33313.41742,36778.34234,35496.8494,35594,33780,36364,35594,1095.623064,4413.725218,3429.328273,1095.623064,33104,12738,32009,33104,37272,36980,44608,37272
25,curve-right-spin-Lfirst,35120.34573,34510.21834,35922.14847,35120.34573,35144,34536,35196,35144,356.7359686,202.0494456,1513.831036,356.7359686,34400,34136,34288,34400,35824,35136,38524,35824
26,curve-left-step,35512.32444,34836.14553,34690.44524,35512.32444,34933,34444,34596,34933,1446.782887,1869.187334,1539.022196,1446.782887,33452,29600,30484,33452,39132,39524,37528,39132
27,jump-two-leg,34927.17097,36834.57327,36151.77134,34927.17097,34564,37788,34436,34564,1082.158699,4185.201109,4374.944299,1082.158699,33276,29575,31548,33276,38540,44572,53052,38540
28,v-cut-left-Rfirst,33234.77806,36269.16031,36315.15522,33234.77806,34192,36430,36701,34192,1886.500422,1273.634125,5411.558384,1886.500422,29232,32465,13689,29232,35056,37760,49220,35056
29,v-cut-right-Rfirst,34703.95518,34564.3743,36411.60894,34703.95518,34541,34812,36452,34541,728.8772174,2765.021982,5616.290723,728.8772174,33728,19278,19278,33728,36892,37640,51064,36892
30,stair-up,35211.70019,35704.06291,35932.75775,35211.70019,35164,35512,35564,35164,2111.156289,2645.523128,2525.625984,2111.156289,28632,30084,30935,28632,42064,45413,45546,42064
31,sit-to-stand,35462.18039,36344.89237,35370.11742,35462.18039,35577,36416,35384,35577,360.9608858,289.5765302,336.2120099,360.9608858,34412,35738,34802,34412,36236,36808,35864,36236
32,curve-left-spin-Lfirst,34672.23009,34562.34879,36854.48565,34672.23009,34680,34656,37194,34680,187.6516568,325.6342786,1003.504163,187.6516568,34272,33913,34164,34272,34988,35152,38380,34988
33,walk,35306.64548,34850.88925,35324.98046,35306.64548,35092,34459,34652,35092,1592.554487,1642.689413,1787.462049,1592.554487,32328,31870,31292,32328,39112,40096,39892,39112
34,sit,35732.8662,35737.49474,35749.13684,35732.8662,35732,35740,35748,35732,28.32427791,48.23377791,54.04978349,28.32427791,35678,35640,35600,35678,35792,35850,35836,35792
35,curve-left-spin-Lfirst,34532.98073,34406.40171,36453.20085,34532.98073,34524,34432,36916,34524,192.0093481,162.5859844,1004.916615,192.0093481,34076,33976,34540,34076,34868,34732,37557,34868
36,jump-two-leg,34646.68359,38002.38986,36266.44055,34646.68359,34740,38869,33652,34740,926.2344223,3611.717333,5103.421021,926.2344223,33388,31272,27392,33388,37952,43104,52264,37952
37,curve-left-spin-Rfirst,36041.62529,35903.6028,34507.92991,36041.62529,37242,36508,34522,37242,1989.822878,1369.651627,436.3860738,1989.822878,32832,31588,32428,32832,38400,37204,35232,38400
38,lateral-shuffle-left,35208.63012,36006.56728,36018.35884,35208.63012,34694,35392,36152,34694,1583.820674,2829.912244,2842.74955,1583.820674,33464,30954,30264,33464,39884,42818,43970,39884
39,sit-to-stand,35847.7357,36467.3622,35097.43307,35847.7357,35908,36477,35231,35908,406.7100884,354.9932504,471.9992911,406.7100884,35036,35856,34408,35036,36768,37016,35976,36768
40,stair-up,35266.11609,35890.20914,35391.79613,35266.11609,35136,35420,35232,35136,2188.692112,2962.868109,1734.169368,2188.692112,30014,30485,32026,30014,41936,47128,40968,41936
41,v-cut-right-Rfirst,36327.30313,33761.28972,36661.42056,36327.30313,36520,34014,36773,36520,649.718525,3511.790183,3510.048864,649.718525,34829,22977,26784,34829,37208,43616,42936,37208
42,stair-down,35580.65044,35752.35801,36051.0232,35580.65044,34948,35448,36023,34948,2166.972906,2642.984261,2424.755492,2166.972906,32412,29125,29420,32412,41720,43067,42493,41720
43,sit,35824.21902,35827.43103,35829.37931,35824.21902,35824,35832,35833,35824,21.97945405,29.81621635,29.64234115,21.97945405,35785,35764,35764,35785,35872,35910,35890,35872
44,curve-right-spin-Lfirst,34887.52371,34510.34409,36152.72688,34887.52371,35041,34472,35392,35041,334.2880438,229.5734188,1372.546956,334.2880438,34272,34150,34596,34272,35276,35258,38410,35276
45,v-cut-right-Lfirst,35595.20313,36672.64416,37110.43636,35595.20313,35584,36260,38361,35584,434.5112502,3588.395791,4863.984811,434.5112502,34532,28720,28720,34532,36300,41792,44972,36300
46,v-cut-right-Lfirst,35387.1586,35636.67024,39064.55228,35387.1586,35484,37768,39676,35484,555.6733601,3586.217435,2321.514761,555.6733601,34278,29732,33332,34278,36272,39488,42465,36272
47,curve-left-spin-Rfirst,35015.86525,35920.43894,34428.31504,35015.86525,34560,36794,34452,34560,2047.125652,1667.615667,478.8216808,2047.125652,32268,31033,33448,32268,38268,37868,35284,38268
48,curve-right-step,35413.46328,34775.19342,34752.369,35413.46328,34880,34380,34624,34880,1351.68142,1540.235184,1278.029896,1351.68142,33612,32456,31784,33612,38112,38944,37685,38112
49,run,36155.12269,36952.74335,36625.81503,36155.12269,35829,36824,36424,35829,4065.757615,5825.322214,5399.763348,4065.757615,27716,19112,18008,27716,43472,46768,46028,43472
50,walk,35288.44138,34624.12748,35464.76658,35288.44138,34876,34331,35122,34876,1566.833308,1183.352771,1876.430537,1566.833308,33156,32220,31352,33156,39356,37024,39584,39356
51,curve-left-step,35439.175,34912.38725,34444.47995,35439.175,34873,34588,34600,34873,1279.118865,1692.876385,1155.388514,1279.118865,32896,31084,29236,32896,38513,39081,37072,38513
52,run,35594.72949,36917.91805,36703.92248,35594.72949,35240,37844,36864,35240,3352.336973,4696.158475,4737.342548,3352.336973,27648,24420,14620,27648,41792,43584,44154,41792
53,curve-right-spin-Rfirst,35045.94872,33564.72244,33843.25984,35045.94872,34585,33776,34000,34585,1421.804167,1317.906099,893.9796556,1421.804167,32872,29396,31084,32872,37828,35700,35556,37828
54,sit,35854.99215,35864.55614,35862.82245,35854.99215,35856,35866,35860,35856,46.73348169,28.7867472,27.80023762,46.73348169,35776,35796,35810,35776,35961,35920,35929,35961
55,jump-one-leg,34747.819,35778.13995,36062.58239,34747.819,34361,37480,33912,34361,1326.383212,3753.902687,3779.402738,1326.383212,32888,27755,30616,32888,37676,40468,44648,37676
56,curve-right-spin-Rfirst,35617.58182,34266.23129,34033.65986,35617.58182,35530,34336,33964,35530,509.3163157,1291.440458,884.0080843,509.3163157,34668,31868,31868,34668,36692,36254,35901,36692
57,v-cut-left-Lfirst,35161.28519,36538.34381,36883.78189,35161.28519,35036,38218,36512,35036,756.7175847,3910.731937,2132.341249,756.7175847,33936,29028,34040,33936,37996,42108,41600,37996
58,curve-left-spin-Lfirst,34494.82774,34456.29464,36476.66964,34494.82774,34448,34529,37060,34448,256.0985207,391.0637964,1308.392582,256.0985207,33997,33688,33900,33997,35120,35018,37964,35120
59,sit-to-stand,35620.00781,36412.31189,35174.45614,35620.00781,35711,36468,35136,35711,238.5506136,489.2191844,322.8425121,238.5506136,34940,35342,34568,34940,35888,37112,35648,35888
60,lateral-shuffle-right,35661.48138,36515.6255,36077.13147,35661.48138,35728,36294,35668,35728,1509.406294,3338.189452,3927.209628,1509.406294,32720,27336,27692,32720,41912,43712,50208,41912
61,sit,35975.99123,35979.30612,35978.48397,35975.99123,35972,35976,35984,35972,29.57881136,35.95126888,23.02246943,29.57881136,35913,35930,35932,35913,36048,36093,36020,36048
62,v-cut-left-Rfirst,34481.74,35439.38769,34976.86855,34481.74,34679.5,36192,34218,34679.5,394.1465695,1873.59252,2673.778837,394.1465695,33104,31556,27160,33104,34928,38156,41584,34928
63,curve-left-spin-Lfirst,34621.86321,34635.86824,36501.46824,34621.86321,34696,34673,36864,34696,219.0581497,270.8250002,941.6839541,219.0581497,34071,33976,34772,34071,34880,35044,37656,34880
64,sit,35795.41525,35800.70423,35811.05915,35795.41525,35794,35813,35816,35794,32.90814573,44.15253298,35.66335685,32.90814573,35734,35701,35732,35734,35872,35872,35884,35872
65,stair-down,35653.85474,36002.25447,35911.29127,35653.85474,35072,35808,36012,35072,1998.702706,2393.695971,2094.167306,1998.702706,32228,30749,30025,32228,42976,42464,41928,42976
66,stand,34944.62147,34974.16901,34861.97465,34944.62147,34940,34992,34852,34940,23.83211327,72.68906498,52.99325114,23.83211327,34904,34812,34756,34904,35000,35088,35010,35000
67,stand-to-sit,34720.04762,35476.29806,36340.28942,34720.04762,34660,35400,36372,34660,312.5615079,610.5117378,290.3451418,312.5615079,34372,34432,35673,34372,35676,36717,36896,35676
68,run,35235.76957,37061.53529,36767.49403,35235.76957,34714,37764,36912,34714,3319.746251,5437.830453,5004.077132,3319.746251,27444,20906,15683,27444,42508,48360,45744,42508
69,curve-right-spin-Lfirst,34655.93576,34262.6688,35110.50855,34655.93576,34796,34312,34872,34796,434.9730988,327.4504839,728.1929483,434.9730988,33964,33640,34224,33964,35144,34712,37188,35144
70,run,35763.47433,36947.45641,36973.05026,35763.47433,35184,37506,37632,35184,3358.491892,5248.492595,4944.661211,3358.491892,28112,22586,20225,28112,42020,48252,44860,42020
71,lateral-shuffle-right,36427.84244,36092.73096,35722.57868,36427.84244,36336,36044,35488,36336,1845.9176,3649.951066,2169.354791,1845.9176,31004,30209,31868,31004,41264,45520,41788,41264
72,v-cut-left-Lfirst,35586.09964,36953.16094,35678.61844,35586.09964,34844,38426,34749,34844,1715.05221,4495.658935,1709.726561,1715.05221,33450,27724,33840,33450,39681,42741,39504,39681
73,v-cut-left-Lfirst,34955.03125,36249.35283,37766.33723,34955.03125,34913,37632,37356,34913,631.6253434,4321.893529,2551.541471,631.6253434,33948,28000,33804,33948,37076,42132,42496,37076
74,stand,34767.58133,34765.31532,34753.06907,34767.58133,34776,34768,34760,34776,35.6365848,29.98000799,29.87964872,35.6365848,34684,34698,34652,34684,34822,34812,34792,34822
75,run,35947.59865,36718.14865,36949.30405,35947.59865,35432,36640,37728,35432,3695.465955,4917.635128,4865.739517,3695.465955,27634,25292,20697,27634,41428,45812,44193,41428
76,stand,34736.62252,34703.79538,34708.60066,34736.62252,34738,34704,34712,34738,21.160278,17.37255519,27.59623018,21.160278,34672,34668,34648,34672,34776,34748,34762,34776
77,jump-two-leg,35441.36364,37358.89201,36653.84017,35441.36364,34713,39272,34104,34713,1691.51365,4481.4233,4473.790421,1691.51365,33438,29180,32232,33438,38664,43185,48356,38664
78,jump-two-leg,35687.70539,36646.53416,37218.69979,35687.70539,36384,38037,36788,36384,1880.92159,4953.319766,4296.020158,1880.92159,32904,27608,32328,32904,38152,44220,46484,38152
79,curve-right-step,35375.3035,34670.92417,34522.92936,35375.3035,34851,34336,34472,34851,1277.359614,1720.671481,1281.919087,1277.359614,33134,31280,29768,33134,38948,39344,37565,38948
80,v-cut-left-Rfirst,33134.5398,37069.87593,35992.51117,33134.5398,33496,37872,35874,33496,1320.958882,2064.547228,5265.091992,1320.958882,30973,32417,24373,30973,34616,39900,49456,34616
81,v-cut-left-Lfirst,34330.95178,35590.20502,38157.65272,34330.95178,34288,35980,38434,34288,313.760466,3707.575433,2729.627147,313.760466,33576,27830,31184,33576,34852,40408,41764,34852
82,walk,35484.15075,34753.42259,34921.08619,35484.15075,34852,34366,34464,34852,1680.15848,1700.106776,1656.596536,1680.15848,32236,31816,31392,32236,39064,39472,38700,39064
83,jump-one-leg,36316.61176,35955.50733,35308.35777,36316.61176,36960,37752,34262,36960,1970.257358,4017.565345,4025.602779,1970.257358,32584,28900,24836,32584,39841,41024,48692,39841
84,curve-left-step,35252.79598,34616.68629,34908.22254,35252.79598,34744,34284,34560,34744,1422.987897,1692.850648,1877.312827,1422.987897,32657,30924,29380,32657,38980,39052,39224,38980
85,curve-left-spin-Rfirst,33967.42644,37033.78439,34099.35316,33967.42644,34462,37076,34344,34462,728.3992767,817.2067461,1118.25636,728.3992767,32572,33252,30800,32572,34828,38340,36524,34828
86,stair-down,35729.74693,35996.26012,36088.57423,35729.74693,35285,35922,36140,35285,2103.264856,2651.656528,2680.992264,2103.264856,32624,24064,29964,32624,41928,41556,41637,41928
87,stair-down,35629.45455,35888.06135,35950.63926,35629.45455,34909,35704,35808,34909,1925.410556,2707.546131,2466.082938,1925.410556,32484,26068,29220,32484,41804,42418,41870,41804
88,curve-right-spin-Rfirst,35313.98198,33751.6,33951.64494,35313.98198,35169,33745,33952,35169,945.7489488,771.8904295,935.7721506,945.7489488,34208,31268,31268,34208,37096,35300,35504,37096
89,stair-down,35863.14148,36016.00845,35920.29952,35863.14148,35368,36020,36216,35368,2124.827173,2557.905432,2618.438949,2124.827173,33120,28045,29148,33120,42328,42560,41512,42328
90,lateral-shuffle-left,34798.53369,35977.76517,35666.81266,34798.53369,34496,35960,35288,34496,1211.482944,2867.337242,2670.636299,1211.482944,32900,31470,32020,32900,37744,44090,43785,37744
91,curve-left-step,35562.23621,34794.34064,34998.66431,35562.23621,35092,34332,34752,35092,1456.994098,1574.971,1561.420031,1456.994098,31952,31685,31112,31952,38448,39284,38264,38448
92,curve-left-step,35422.70226,34642.38618,35448.31255,35422.70226,35016,34312,34876,35016,1358.274766,1594.876875,1946.606738,1358.274766,32776,30156,30808,32776,38732,38080,39424,38732
93,jump-one-leg,34258.82813,37692.73766,33185.85974,34258.82813,34425,37956,33277,34425,995.7852205,2561.836743,3019.750285,995.7852205,32434,31236,28224,32434,36700,41348,44288,36700
94,jump-one-leg,34791.20163,36068.03261,35641.56522,34791.20163,34502,36977,33524,34502,1065.553574,4185.331524,3792.689201,1065.553574,33140,29700,28732,33140,37952,41749,44752,37952
95,walk,35676.13523,34718.30578,35043.24711,35676.13523,35036,34408,34740,35036,1670.138126,1732.683252,1688.446936,1670.138126,32178,31608,30785,32178,38736,39464,38504,38736
96,v-cut-right-Rfirst,35084.42938,33649.47606,36667.78028,35084.42938,35076,34120,35851,35076,888.5038523,3713.747062,3454.681263,888.5038523,32922,20410,32384,32922,36704,39956,45469,36704
97,jump-one-leg,36463.34615,35036.70332,36433.02302,36463.34615,36824,34544,35760,36824,1539.398531,4197.006852,4276.505886,1539.398531,33248,27018,26698,33248,38484,40196,47200,38484
98,v-cut-right-Lfirst,35445.91143,36331.82336,37483.68661,35445.91143,35432,36989,38736,35432,477.4337208,3512.385483,4052.910839,477.4337208,34023,28636,28728,34023,36232,40628,42904,36232
99,curve-right-spin-Rfirst,34809.88382,34248.49689,34352.71222,34809.88382,34568,34166,34238,34568,631.0116708,1134.6709,459.1169203,631.0116708,34176,32028,33048,34176,36552,36548,35400,36552
100,curve-right-step,35183.10332,34674.14296,35196.75668,35183.10332,34936,34488,34768,34936,1150.216625,1479.140499,1858.080424,1150.216625,32788,30848,30948,32788,38644,37792,39130,38644
101,v-cut-right-Lfirst,36032.54802,35175.92676,39897.33803,36032.54802,36053,36693,40360,36053,529.4867034,4742.361768,3123.209797,529.4867034,35088,27736,32008,35088,36892,41380,43688,36892
102,sit,35948.35938,35947.67273,35950.98182,35948.35938,35952,35952,35952,35952,25.849353,21.2154599,18.93030479,25.849353,35896,35896,35916,35896,36024,35984,35988,36024
103,jump-two-leg,35429.72556,36424.21013,36561.08443,35429.72556,34416,36500,35444,34416,1814.38708,4112.879012,3643.216638,1814.38708,33372,31394,30496,33372,38960,42628,45372,38960
104,lateral-shuffle-left,35136.30248,35784,36024.80208,35136.30248,34788,34468,36008,34788,1542.133698,3121.779388,2453.873184,1542.133698,33020,31713,32368,33020,39738,42636,41492,39738
105,curve-left-spin-Lfirst,34576.40278,34636.52425,36475.60277,34576.40278,34614,34700,37000,34614,270.9795924,499.5828908,1065.135094,270.9795924,34076,33541,34412,34076,35004,35376,37708,35004
106,curve-left-spin-Lfirst,34511.49793,34565.44928,36986.09938,34511.49793,34618,34564,37250,34618,371.0544241,155.7248845,836.6147073,371.0544241,33732,34188,34510,33732,35144,34860,37988,35144
107,lateral-shuffle-right,35580.76744,36905.50323,36286.89548,35580.76744,35530,36200,36016,35530,1132.718112,2639.795293,2409.055806,1132.718112,33482,31096,32360,33482,37345,42537,44032,37345
108,walk,35516.34426,34149.99509,35325.22195,35516.34426,34759,34316,35089,34759,1640.973544,1095.062823,1960.898828,1640.973544,32298,30400,30608,32298,38840,38444,39288,38840
109,v-cut-left-Lfirst,35124.30263,37241.13666,34498.18134,35124.30263,34309,36920,34476,34309,2910.645669,2568.144618,279.9083002,2910.645669,29208,33170,33842,29208,41532,42960,35368,41532
110,walk,35424.37072,34452.79968,35388.83466,35424.37072,34888,34404,34952,34888,1481.564895,1424.399718,1814.082576,1481.564895,33288,30656,31273,33288,39032,37444,39138,39032
111,curve-left-step,35471.34454,34730.28295,34603.74806,35471.34454,35060,34336,34532,35060,1257.786464,1637.853005,1466.711292,1257.786464,33100,28768,28576,33100,39044,38898,37930,39044
112,curve-right-spin-Lfirst,35222,34495.4128,35776.72848,35222,35312,34488,35280,35312,518.9055855,217.3727163,1515.613201,518.9055855,34208,34116,34053,34208,35941,34941,38596,35941
113,sit-to-stand,35716.30736,36322.78186,35667.28726,35716.30736,35724,36676,35670,35724,168.6973979,755.408758,448.0866268,168.6973979,34966,34768,34821,34966,35936,37152,36676,35936
114,jump-one-leg,35029.46978,35454.47671,36598.06575,35029.46978,35256,34408,36628,35256,1834.307466,4510.519068,3856.147483,1834.307466,32500,28612,32016,32500,38777,41672,44816,38777
115,jump-two-leg,34835.34918,38065.71898,35800.76642,34835.34918,34764,38150,33338,34764,1206.149108,3534.605387,5537.645695,1206.149108,33188,29288,27092,33188,37348,43872,54276,37348
116,curve-left-spin-Rfirst,33909.3053,36701.81022,34586.62044,33909.3053,34616,36960,34724,34616,1021.567827,903.417655,729.4271688,1021.567827,31729,33824,31640,31729,34860,38180,35520,34860
117,stand-to-sit,34743.71992,34760.40551,36364.09843,34743.71992,34720,34750,36541,34720,94.58497057,294.3959096,519.8724033,94.58497057,34604,34248,35032,34604,34984,35668,37296,34984
118,curve-left-spin-Rfirst,35153.84553,36807.76876,33999.10345,35153.84553,34333,36940,34032,34333,1997.943913,892.946588,717.3689531,1997.943913,32864,34400,31920,32864,38360,37820,35232,38360
119,v-cut-left-Lfirst,35007.76923,36556.78788,37365.30101,35007.76923,34776,37628,37172,34776,967.308333,4481.382577,2366.185958,967.308333,33956,28340,34077,33956,38352,42412,42412,38352
120,sit-to-stand,35667.8744,36269.56145,36068.54458,35667.8744,35713,36612,35972,35713,192.6160508,659.4912257,426.2448632,192.6160508,34956,34956,35040,34956,35896,37004,36928,35896
121,stand-to-sit,34614.54219,35107.41219,36235.71685,34614.54219,34695,35018,36317,34695,183.6911911,959.340349,584.4422486,183.6911911,34114,33664,35336,34114,34808,36906,37156,34808
122,curve-right-step,35127.86212,34731.66761,35238.51989,35127.86212,34828,34405,34820,34828,1299.608821,1604.49113,2148.935586,1299.608821,32793,31040,29220,32793,39321,37940,39480,39321
123,stair-up,35168.62201,35654.8491,35780.49275,35168.62201,34948,35221,35668,34948,2056.91406,2662.971325,2529.637453,2056.91406,29724,29320,29992,29724,42136,46016,45120,42136
124,curve-right-spin-Rfirst,35038.6962,33587.08211,34067.77684,35038.6962,34744,33484,34164,34744,811.0499424,790.3236316,547.9836579,811.0499424,34025,32024,32484,34025,36712,35200,34900,36712
125,stair-down,34666.31667,35792.644,36174.30118,34666.31667,34802,35864,36004,34802,486.0507525,2362.454377,2556.298298,486.0507525,33056,29317,30212,33056,36724,42724,41804,36724
126,v-cut-right-Rfirst,36412.36,34713.69231,35093.31624,36412.36,36556,34292,35384,36556,691.2967024,4414.249731,2355.165081,691.2967024,35004,22138,31384,35004,37440,43236,39776,37440
127,stair-down,35794.57097,36062.3177,36090.96588,35794.57097,35276,36041,35826,35276,2047.117873,2732.105851,2401.896332,2047.117873,32064,28007,29152,32064,42552,42488,41912,42552
128,curve-right-spin-Lfirst,34577.86977,34700.02784,35978.37123,34577.86977,34592,34688,36281,34592,164.0731026,225.2456213,1442.915871,164.0731026,34202,34296,34198,34202,34824,35252,38388,34824
129,v-cut-left-Rfirst,33471.38647,35616.5494,36149.02651,33471.38647,33504,35703,35308,33504,1619.289563,1431.189542,5368.355618,1619.289563,30940,32796,13796,30940,36684,37544,46412,36684
130,stand-to-sit,34648.72619,35215.87525,35987.41386,34648.72619,34626,35100,36264,34626,183.0388948,711.9643031,676.4569733,183.0388948,34254,34252,34924,34254,35049,36460,36988,35049
131,v-cut-left-Rfirst,33385.305,35844.68329,36377.87531,33385.305,33912.5,36020,35508,33912.5,1836.65295,1058.12251,4755.242737,1836.65295,29952,33342,20972,29952,37608,37224,50460,37608
132,stand-to-sit,34711.43233,35381.78612,35945.07692,34711.43233,34736,35545,36082,34736,207.47621,624.3759405,674.4692258,207.47621,34110,34148,34738,34110,35060,36428,37356,35060
133,stand,34767.90789,34799.32459,34794.89836,34767.90789,34768,34797,34796,34768,24.90201398,23.48703909,26.9676859,24.90201398,34724,34756,34744,34724,34829,34865,34846,34829
134,stair-up,35157.22662,35693.39263,35768.54897,35157.22662,34988,35312,35728,34988,1791.437836,2672.118402,2245.484663,1791.437836,31513,29753,30921,31513,40532,47204,44052,40532
135,sit,35826.77982,35841.26829,35845.12195,35826.77982,35828,35845,35844,35828,33.73253453,33.5615,39.78501562,33.73253453,35756,35768,35768,35756,35932,35912,35918,35932
136,lateral-shuffle-right,35918.56693,35882.36697,36189.97903,35918.56693,36172,35628,34968,36172,1668.633413,3083.015381,3727.361328,1668.633413,30714,26868,26868,30714,41642,42004,49672,41642
137,stand,34765.99315,34820.91468,34757.9727,34765.99315,34772,34820,34756,34772,35.51225461,20.23516427,34.54814893,35.51225461,34688,34784,34696,34688,34824,34856,34840,34824
138,jump-two-leg,35512.21053,36188.43082,36616.42032,35512.21053,35130,33238,34804,35130,1735.498892,4448.343417,4444.953409,1735.498892,33316,30256,24348,33316,39332,43352,50216,39332
139,lateral-shuffle-right,35306.88718,36115.66965,35832.13572,35306.88718,35442.5,35996,36048,35442.5,1681.718445,3163.014504,3809.058168,1681.718445,26537,30000,20690,26537,37537,41956,46244,37537
140,lateral-shuffle-left,35102.67413,36116.34286,35525.8559,35102.67413,34624,35280,34484,34624,1433.720343,4779.577168,2662.019762,1433.720343,33256,11026,29608,33256,40016,49800,41424,40016
141,v-cut-left-Rfirst,33702.91093,35730.76364,35791.53333,33702.91093,34776,35973,34950,34776,1799.261568,1822.843167,5002.671557,1799.261568,29716,31305,14402,29716,35204,38260,47624,35204
142,run,35878.9989,36769.13436,36761.49339,35878.9989,35233,37008,36384,35233,3450.812237,5311.302824,4754.284042,3450.812237,28532,18773,21552,28532,42328,46916,45460,42328
143,jump-one-leg,36272.82895,34962.89764,36458.93963,36272.82895,36688,33986,36204,36688,1511.824104,4120.555407,3692.95776,1511.824104,32377,28484,31528,32377,38125,41076,47144,38125
144,curve-right-step,35179.68519,34602.11103,35194.82278,35179.68519,34828,34316,35076,34828,1213.880102,1544.36876,2066.123938,1213.880102,32620,30400,29344,32620,38688,37560,39254,38688
145,lateral-shuffle-right,36029.5733,36708.48889,36137.41961,36029.5733,36392,36416,35720,36392,1384.718146,2647.847984,3124.657035,1384.718146,33636,30740,31682,33636,40761,42348,45852,40761
146,sit-to-stand,35829.91942,36237.71753,36166.70515,35829.91942,35880,36544,36152,35880,139.6530443,594.081057,370.6039599,139.6530443,35395,34925,35316,35395,36008,36856,36708,36008
147,stair-down,35814.52655,35900.45746,35956.53702,35814.52655,35376,36087,35812,35376,2104.128596,2719.975044,2589.51682,2104.128596,32766,27456,28868,32766,43232,42992,42236,43232
